RESPID,MODE,LANGUAGE,LANGUAGEINITIAL,STRATUM,INTERVIEW_START,INTERVIEW_END,ECON1MOD,ECON1BMOD,COMTYPE2,UNITY,CRIMESAFE,GOVPROTCT,MOREGUNIMPACT,FIN_SIT,VET1,VOL12_CPS,INTFREQ,INTFREQ_COLLAPSED,RADIO,NHISLL,RELIGCAT1,EDUCCAT,REGISTRATION,PARTY,PARTYLN,PARTYSUM,HISP,RACECMB,RACETHN,AGEGRP,AGECAT,BIRTHPLACE,GENDER,ADULTS,VOTED2024,VOTEGEN_POST,INC_SDT1,CREGION,METRO,BASEWT,WEIGHT
18470.0,Paper,English,,"10 = Remaining CBG, NOT 65%+ HS or less",2025-05-08,2025-05-08,Good,About the same,Rural,Americans are divided when it comes to the most important values,Somewhat safe,Sometimes laws to protect people from themselves are necessary,No difference,Meet my basic expenses with a little left over for extras,"Yes, someone else in household",Yes,Almost constantly,Almost constantly,Yes,No,Protestant,College graduate+,Yes,Republican,,Rep/Lean Rep,No,White,White non-Hispanic,55-59,50-64,"U.S. - 50 states, District of Columbia",A woman,3,Yes,Another candidate,"$50,000 to less than $70,000",South,Metropolitan,2.4066014193015723,0.4728156123010687
18634.0,Paper,English,,"10 = Remaining CBG, NOT 65%+ HS or less",2025-05-02,2025-05-02,Good,About the same,Urban,Americans are united when it comes to the most important values,Very safe,Sometimes laws to protect people from themselves are necessary,No difference,Meet my basic expenses with a little left over for extras,"No, nobody in household",Yes,Several times a day,Several times a day,Yes,Yes,Protestant,College graduate+,Yes,Republican,,Rep/Lean Rep,No,White,White non-Hispanic,70-74,65+,"U.S. - 50 states, District of Columbia",A woman,1,Yes,"Donald Trump, the Republican","$50,000 to less than $70,000",South,Metropolitan,0.802200473100524,0.6161642993203253
16757.0,Paper,English,,"9 = Remaining CBG, 65%+ HS or less",2025-05-12,2025-05-12,Poor,About the same,Urban,Americans are divided when it comes to the most important values,Very safe,Sometimes laws to protect people from themselves are necessary,Less crime,Don't even have enough to meet basic expenses,"No, nobody in household",Yes,Several times a day,Several times a day,Yes,No,Unaffiliated,Some College,Yes,Democrat,,Dem/Lean Dem,Yes,Some other Race,Hispanic,50-54,50-64,"U.S. - 50 states, District of Columbia",A man,Refused/Web blank,Yes,"Kamala Harris, the Democrat","$40,000 to less than $50,000",West,Metropolitan,0.9018011921354439,0.559988046805073
9783.0,Online,English,English,"10 = Remaining CBG, NOT 65%+ HS or less",2025-02-26,2025-02-26,Poor,Worse,Rural,Americans are divided when it comes to the most important values,Very safe,Sometimes laws to protect people from themselves are necessary,No difference,Just meet my basic expenses,"No, nobody in household",Yes,Almost constantly,Almost constantly,Yes,No,Protestant,College graduate+,Yes,Republican,,Rep/Lean Rep,No,White,White non-Hispanic,50-54,50-64,"U.S. - 50 states, District of Columbia",A woman,3,Yes,"Donald Trump, the Republican","$70,000 to less than $100,000",South,Metropolitan,1.2033007096507862,0.7638631775902641
6862.0,Paper,English,,"9 = Remaining CBG, 65%+ HS or less",2025-05-13,2025-05-13,Good,Better,Suburban,Americans are divided when it comes to the most important values,Very safe,Sometimes laws to protect people from themselves are necessary,No difference,Just meet my basic expenses,"No, nobody in household",No,Several times a day,Several times a day,Yes,No,Catholic,Some College,Yes,Republican,,Rep/Lean Rep,No,White,White non-Hispanic,70-74,65+,"U.S. - 50 states, District of Columbia",A man,1,Yes,"Donald Trump, the Republican","Less than $30,000",Northeast,Metropolitan,0.4509005960677219,0.22111566035520103
11555.0,Paper,English,,"7 = 75%+ Hispanic, 65%+ HS or less",2025-05-02,2025-05-02,Poor,Worse,Urban,Americans are divided when it comes to the most important values,Very safe,Sometimes laws to protect people from themselves are necessary,More crime,Live comfortably,"No, nobody in household",Yes,Almost constantly,Almost constantly,Yes,No,Catholic,College graduate+,Yes,Democrat,,Dem/Lean Dem,Yes,White,Hispanic,35-39,30-49,"U.S. - 50 states, District of Columbia",A woman,2,Yes,"Kamala Harris, the Democrat","$150,000 or more",South,Metropolitan,0.3549963201832534,0.2824516173216229
13673.0,Online,English,English,"10 = Remaining CBG, NOT 65%+ HS or less",2025-03-02,2025-03-02,Good,About the same,Suburban,Americans are united when it comes to the most important values,Very safe,Sometimes laws to protect people from themselves are necessary,More crime,Meet my basic expenses with a little left over for extras,"No, nobody in household",No,Almost constantly,Almost constantly,No,No,Other,College graduate+,No,Independent,The Democratic Party,Dem/Lean Dem,No,Asian or Asian-American,Asian non-Hispanic,25-29,18-29,Another country (please specify):,A man,2,No,,"$70,000 to less than $100,000",Northeast,Metropolitan,0.802200473100524,2.422277636612097
14364.0,Online,English,English,"10 = Remaining CBG, NOT 65%+ HS or less",2025-03-15,2025-03-15,Only fair,About the same,Urban,Americans are divided when it comes to the most important values,Not too safe,Sometimes laws to protect people from themselves are necessary,No difference,Meet my basic expenses with a little left over for extras,"Yes, self",No,Several times a day,Several times a day,No,No,Unaffiliated,H.S. graduate or less,Yes,Democrat,,Dem/Lean Dem,No,White,White non-Hispanic,75-79,65+,"U.S. - 50 states, District of Columbia",A man,2,Yes,"Kamala Harris, the Democrat","$40,000 to less than $50,000",South,Metropolitan,0.802200473100524,0.5766571266178363
15793.0,Phone,Spanish,English,"10 = Remaining CBG, NOT 65%+ HS or less",2025-03-06,2025-03-06,Only fair,Worse,Urban,Americans are united when it comes to the most important values,Not too safe,Sometimes laws to protect people from themselves are necessary,More crime,Just meet my basic expenses,"No, nobody in household",No,Several times a day,Several times a day,No,No,Catholic,H.S. graduate or less,No,Something else,The Democratic Party,Dem/Lean Dem,Yes,Refused,Hispanic,40-44,30-49,Another country (please specify):,A woman,2,No,,"$50,000 to less than $70,000",West,Metropolitan,1.604400946201048,5.089685535948046
18408.0,Paper,English,,"10 = Remaining CBG, NOT 65%+ HS or less",2025-05-13,2025-05-13,Good,Worse,Suburban,Americans are divided when it comes to the most important values,Somewhat safe,Sometimes laws to protect people from themselves are necessary,More crime,Just meet my basic expenses,"Yes, someone else in household",Yes,Several times a day,Several times a day,No,No,Protestant,College graduate+,Yes,Democrat,,Dem/Lean Dem,No,White,White non-Hispanic,45-49,30-49,"U.S. - 50 states, District of Columbia",A woman,2,Yes,"Kamala Harris, the Democrat","$125,000 to less than $150,000",West,Metropolitan,1.604400946201048,1.208065249184001
5945.0,Online,English,English,"10 = Remaining CBG, NOT 65%+ HS or less",2025-03-13,2025-03-13,Good,About the same,Suburban,Americans are divided when it comes to the most important values,Very safe,Sometimes laws to protect people from themselves are necessary,More crime,Live comfortably,"No, nobody in household",Yes,Several times a day,Several times a day,Yes,Yes,Protestant,College graduate+,Yes,Republican,,Rep/Lean Rep,No,White,White non-Hispanic,65-69,65+,"U.S. - 50 states, District of Columbia",A woman,2,Yes,"Donald Trump, the Republican","$50,000 to less than $70,000",Midwest,Metropolitan,0.802200473100524,0.5361416136892311
16607.0,Paper,English,,"7 = 75%+ Hispanic, 65%+ HS or less",2025-05-02,2025-05-02,Good,Better,Suburban,Americans are divided when it comes to the most important values,Very safe,Sometimes laws to protect people from themselves are necessary,Less crime,Don't even have enough to meet basic expenses,"No, nobody in household",No,I do not use the internet,Less often or does not use the internet,Yes,No,Refused,H.S. graduate or less,Yes,Refused/Web blank,The Democratic Party,Dem/Lean Dem,No,Black or African-American,Black non-Hispanic,60-64,50-64,"U.S. - 50 states, District of Columbia",A woman,Refused/Web blank,Yes,"Kamala Harris, the Democrat","Less than $30,000",West,Metropolitan,0.1774981600916267,0.17804907793195135
10500.0,Online,English,English,"2 = 50%-74.99% Black non-Hispanic, NOT 65%+ HS or less",2025-03-03,2025-03-03,Good,Better,Urban,Americans are divided when it comes to the most important values,Very safe,Sometimes laws to protect people from themselves are necessary,More crime,Live comfortably,"No, nobody in household",Yes,Several times a day,Several times a day,Yes,Yes,Protestant,College graduate+,Yes,Democrat,,Dem/Lean Dem,No,White,White non-Hispanic,70-74,65+,"U.S. - 50 states, District of Columbia",A man,1,Yes,"Kamala Harris, the Democrat","$50,000 to less than $70,000",South,Metropolitan,0.2886818343575065,0.14644297319521474
16442.0,Online,English,English,"10 = Remaining CBG, NOT 65%+ HS or less",2025-02-28,2025-02-28,Good,About the same,Suburban,Americans are divided when it comes to the most important values,Very safe,Sometimes laws to protect people from themselves are necessary,No difference,Live comfortably,"No, nobody in household",No,Almost constantly,Almost constantly,Yes,No,Catholic,Some College,No,Republican,,Rep/Lean Rep,Yes,White,Hispanic,45-49,30-49,"U.S. - 50 states, District of Columbia",A woman,2,No,,"$125,000 to less than $150,000",South,Metropolitan,0.802200473100524,0.8698643746688327
13114.0,Online,English,English,"10 = Remaining CBG, NOT 65%+ HS or less",2025-03-10,2025-03-10,Good,About the same,Suburban,Americans are divided when it comes to the most important values,Very safe,Sometimes laws to protect people from themselves are necessary,More crime,Meet my basic expenses with a little left over for extras,"No, nobody in household",Yes,Several times a day,Several times a day,Yes,No,Protestant,College graduate+,No,Republican,,Rep/Lean Rep,Yes,White,Hispanic,60-64,50-64,U.S. - Puerto Rico,A woman,1,Yes,"Donald Trump, the Republican","$70,000 to less than $100,000",Northeast,Metropolitan,0.401100236550262,0.3810629995847999
4142.0,Paper,English,,"10 = Remaining CBG, NOT 65%+ HS or less",2025-05-09,2025-05-09,Only fair,Better,Rural,Americans are divided when it comes to the most important values,Very safe,It's not the government's job to protect people from themselves,Less crime,Don't even have enough to meet basic expenses,"No, nobody in household",No,About once a day,Daily or several times a week,No,No,Protestant,Some College,No,Republican,,Rep/Lean Rep,No,White,White non-Hispanic,65-69,65+,"U.S. - 50 states, District of Columbia",A woman,2,No,,"$70,000 to less than $100,000",South,Non-metropolitan,1.604400946201048,1.2310885871189066
812.0,Online,English,English,"10 = Remaining CBG, NOT 65%+ HS or less",2025-02-19,2025-02-19,Only fair,About the same,Suburban,Americans are divided when it comes to the most important values,Somewhat safe,It's not the government's job to protect people from themselves,No difference,Meet my basic expenses with a little left over for extras,"No, nobody in household",No,Several times a day,Several times a day,Yes,No,Unaffiliated,College graduate+,Yes,Independent,The Republican Party,Rep/Lean Rep,No,White,White non-Hispanic,40-44,30-49,"U.S. - 50 states, District of Columbia",A man,2,No,,"$100,000 to less than $125,000",West,Metropolitan,0.802200473100524,1.267660320221586
10250.0,Paper,English,,"10 = Remaining CBG, NOT 65%+ HS or less",2025-05-08,2025-05-08,Poor,Better,Rural,Americans are united when it comes to the most important values,Somewhat safe,It's not the government's job to protect people from themselves,Less crime,Just meet my basic expenses,"No, nobody in household",No,Several times a day,Several times a day,Yes,No,Protestant,H.S. graduate or less,Yes,Republican,,Rep/Lean Rep,No,White,White non-Hispanic,50-54,50-64,"U.S. - 50 states, District of Columbia",A woman,2,Yes,"Donald Trump, the Republican","Less than $30,000",South,Non-metropolitan,1.604400946201048,1.1258293248556868
3716.0,Online,English,English,"1 = 50%-74.99% Black non-Hispanic, 65%+ HS or less",2025-02-25,2025-02-25,Excellent,Worse,Urban,Americans are divided when it comes to the most important values,Extremely safe,Refused/Web blank,Less crime,Don't even have enough to meet basic expenses,"Yes, someone else in household",Yes,Almost constantly,Almost constantly,Refused/Web blank,No,Refused,Refused,Refused/Web blank,Refused/Web blank,Refused/Web blank,DK/Refused/No lean,Refused/Web blank,Refused,Refused,35-39,30-49,"U.S. - 50 states, District of Columbia",A man,Refused/Web blank,Refused/Web blank,,Refused/Web blank,South,Metropolitan,0.16016429921434563,0.06894074202177933
9247.0,Online,English,English,"7 = 75%+ Hispanic, 65%+ HS or less",2025-03-03,2025-03-03,Poor,Worse,Urban,Americans are divided when it comes to the most important values,Not too safe,Sometimes laws to protect people from themselves are necessary,No difference,Live comfortably,"No, nobody in household",No,Several times a day,Several times a day,No,No,Unaffiliated,Some College,No,Independent,The Democratic Party,Dem/Lean Dem,Yes,Some other Race,Hispanic,18-24,18-29,U.S. - other territory,A man,3,Yes,"Kamala Harris, the Democrat","Less than $30,000",West,Metropolitan,0.26624724013744006,0.7993593114833589
14233.0,Paper,English,,"7 = 75%+ Hispanic, 65%+ HS or less",2025-05-12,2025-05-12,Only fair,About the same,Rural,Americans are divided when it comes to the most important values,Somewhat safe,Sometimes laws to protect people from themselves are necessary,No difference,Meet my basic expenses with a little left over for extras,"No, nobody in household",No,Several times a week,Daily or several times a week,Yes,Yes,Catholic,Some College,Yes,Independent,The Democratic Party,Dem/Lean Dem,No,White,White non-Hispanic,70-74,65+,"U.S. - 50 states, District of Columbia",A man,1,Yes,"Kamala Harris, the Democrat","$40,000 to less than $50,000",South,Non-metropolitan,0.1774981600916267,0.10270048385606459
13255.0,Paper,English,,"10 = Remaining CBG, NOT 65%+ HS or less",2025-05-06,2025-05-06,Good,Better,Rural,Americans are divided when it comes to the most important values,Somewhat safe,It's not the government's job to protect people from themselves,Less crime,Live comfortably,"No, nobody in household",No,Several times a day,Several times a day,Yes,Yes,Unaffiliated,Some College,Yes,Republican,,Rep/Lean Rep,No,White,White non-Hispanic,50-54,50-64,"U.S. - 50 states, District of Columbia",A man,2,Yes,"Donald Trump, the Republican","$150,000 or more",South,Non-metropolitan,1.604400946201048,1.373641014181489
1564.0,Paper,English,,"10 = Remaining CBG, NOT 65%+ HS or less",2025-05-05,2025-05-05,Only fair,Worse,Urban,Americans are divided when it comes to the most important values,Not too safe,Sometimes laws to protect people from themselves are necessary,More crime,Meet my basic expenses with a little left over for extras,"No, nobody in household",Yes,About once a day,Daily or several times a week,Yes,Yes,Catholic,H.S. graduate or less,Yes,Democrat,,Dem/Lean Dem,No,White,White non-Hispanic,75-79,65+,"U.S. - 50 states, District of Columbia",A woman,1,Yes,"Kamala Harris, the Democrat","Less than $30,000",Northeast,Metropolitan,0.802200473100524,0.7146387849774956
780.0,Online,English,English,"10 = Remaining CBG, NOT 65%+ HS or less",2025-03-23,2025-03-23,Excellent,Worse,Urban,Americans are divided when it comes to the most important values,Very safe,Sometimes laws to protect people from themselves are necessary,More crime,Live comfortably,"No, nobody in household",No,Several times a day,Several times a day,No,No,Unaffiliated,College graduate+,No,Independent,The Democratic Party,Dem/Lean Dem,No,Black or African-American,Black non-Hispanic,30-34,30-49,Another country (please specify):,A man,2,No,,"$150,000 or more",Northeast,Metropolitan,0.802200473100524,2.1715490365069128
11181.0,Online,English,English,"10 = Remaining CBG, NOT 65%+ HS or less",2025-03-03,2025-03-03,Only fair,Better,Rural,Americans are divided when it comes to the most important values,Very safe,It's not the government's job to protect people from themselves,More crime,Just meet my basic expenses,"No, nobody in household",No,Several times a day,Several times a day,Yes,No,Catholic,H.S. graduate or less,Yes,Republican,,Rep/Lean Rep,No,White,White non-Hispanic,65-69,65+,"U.S. - 50 states, District of Columbia",A woman,1,Yes,"Donald Trump, the Republican","Less than $30,000",Northeast,Metropolitan,0.401100236550262,0.31805878389587794
5145.0,Paper,English,,"10 = Remaining CBG, NOT 65%+ HS or less",2025-05-22,2025-05-22,Only fair,About the same,Rural,Americans are divided when it comes to the most important values,Somewhat safe,It's not the government's job to protect people from themselves,No difference,Live comfortably,"No, nobody in household",No,Several times a day,Several times a day,Yes,No,Protestant,H.S. graduate or less,Yes,Independent,The Democratic Party,Dem/Lean Dem,No,White,White non-Hispanic,65-69,65+,"U.S. - 50 states, District of Columbia",A man,Refused/Web blank,Yes,"Kamala Harris, the Democrat","$100,000 to less than $125,000",Midwest,Metropolitan,0.802200473100524,0.5019885750217431
16368.0,Online,English,English,"1 = 50%-74.99% Black non-Hispanic, 65%+ HS or less",2025-03-29,2025-03-29,Only fair,Worse,Urban,Americans are divided when it comes to the most important values,Somewhat safe,Sometimes laws to protect people from themselves are necessary,Less crime,Just meet my basic expenses,"Yes, self",No,Almost constantly,Almost constantly,Yes,No,Protestant,Some College,No,Democrat,,Dem/Lean Dem,No,Black or African-American,Black non-Hispanic,40-44,30-49,"U.S. - 50 states, District of Columbia",A man,1,Yes,"Kamala Harris, the Democrat","$30,000 to less than $40,000",Midwest,Metropolitan,0.08008214960717282,0.10750069458530888
14782.0,Phone,English,English,"10 = Remaining CBG, NOT 65%+ HS or less",2025-02-27,2025-02-27,Only fair,Better,Rural,Americans are united when it comes to the most important values,Very safe,Sometimes laws to protect people from themselves are necessary,Less crime,Just meet my basic expenses,"No, nobody in household",No,I do not use the internet,Less often or does not use the internet,Yes,Yes,Unaffiliated,H.S. graduate or less,Yes,Independent,The Republican Party,Rep/Lean Rep,No,Some other Race,Other,65-69,65+,"U.S. - 50 states, District of Columbia",A man,2,Yes,"Donald Trump, the Republican","$40,000 to less than $50,000",Midwest,Metropolitan,1.604400946201048,2.8473856798629926
3017.0,Online,English,English,"10 = Remaining CBG, NOT 65%+ HS or less",2025-03-02,2025-03-02,Good,Worse,Suburban,Americans are divided when it comes to the most important values,Very safe,Sometimes laws to protect people from themselves are necessary,No difference,Meet my basic expenses with a little left over for extras,"No, nobody in household",No,About once a day,Daily or several times a week,Yes,Yes,Catholic,Some College,Yes,Democrat,,Dem/Lean Dem,No,White,White non-Hispanic,70-74,65+,"U.S. - 50 states, District of Columbia",A man,2,Yes,"Kamala Harris, the Democrat","$70,000 to less than $100,000",West,Metropolitan,0.802200473100524,0.4377437169639059
7158.0,Online,English,English,"10 = Remaining CBG, NOT 65%+ HS or less",2025-03-05,2025-03-05,Excellent,Better,Suburban,Americans are divided when it comes to the most important values,Very safe,It's not the government's job to protect people from themselves,Less crime,Live comfortably,"Yes, self",Yes,Several times a day,Several times a day,Yes,Yes,Protestant,College graduate+,Yes,Republican,,Rep/Lean Rep,No,White,White non-Hispanic,80+,65+,"U.S. - 50 states, District of Columbia",A man,1,Yes,"Donald Trump, the Republican","$150,000 or more",West,Metropolitan,0.401100236550262,0.2342870696846766
14402.0,Online,English,English,"10 = Remaining CBG, NOT 65%+ HS or less",2025-03-09,2025-03-09,Good,Better,Urban,Americans are divided when it comes to the most important values,Somewhat safe,Sometimes laws to protect people from themselves are necessary,Less crime,Live comfortably,"No, nobody in household",Yes,Almost constantly,Almost constantly,Yes,No,Catholic,College graduate+,Yes,Republican,,Rep/Lean Rep,No,White,White non-Hispanic,25-29,18-29,"U.S. - 50 states, District of Columbia",A woman,3,Yes,"Donald Trump, the Republican","$70,000 to less than $100,000",Northeast,Metropolitan,1.2033007096507862,1.8060822406868426
13349.0,Paper,English,,"10 = Remaining CBG, NOT 65%+ HS or less",2025-05-06,2025-05-06,Only fair,Worse,Rural,Americans are divided when it comes to the most important values,Somewhat safe,Sometimes laws to protect people from themselves are necessary,More crime,Meet my basic expenses with a little left over for extras,"No, nobody in household",No,I do not use the internet,Less often or does not use the internet,Yes,Yes,Catholic,H.S. graduate or less,Yes,Democrat,,Dem/Lean Dem,No,White,White non-Hispanic,70-74,65+,"U.S. - 50 states, District of Columbia",A man,Refused/Web blank,Yes,"Kamala Harris, the Democrat","$50,000 to less than $70,000",Midwest,Metropolitan,1.604400946201048,1.3187681434249294
14373.0,Online,English,English,"10 = Remaining CBG, NOT 65%+ HS or less",2025-02-25,2025-02-25,Only fair,Worse,Suburban,Americans are divided when it comes to the most important values,Very safe,Sometimes laws to protect people from themselves are necessary,More crime,Just meet my basic expenses,"No, nobody in household",No,Almost constantly,Almost constantly,Yes,No,Unaffiliated,College graduate+,Yes,Independent,The Democratic Party,Dem/Lean Dem,No,White,White non-Hispanic,30-34,30-49,"U.S. - 50 states, District of Columbia",A woman,1,Yes,"Kamala Harris, the Democrat","$50,000 to less than $70,000",South,Metropolitan,0.401100236550262,0.3723139337323474
6489.0,Paper,English,,"10 = Remaining CBG, NOT 65%+ HS or less",2025-05-21,2025-05-21,Good,Better,Rural,Americans are divided when it comes to the most important values,Somewhat safe,Sometimes laws to protect people from themselves are necessary,Less crime,Live comfortably,"Yes, someone else in household",Yes,Several times a day,Several times a day,Yes,No,Protestant,College graduate+,Yes,Republican,,Rep/Lean Rep,No,White,White non-Hispanic,75-79,65+,"U.S. - 50 states, District of Columbia",A woman,2,Yes,"Donald Trump, the Republican","$50,000 to less than $70,000",South,Non-metropolitan,1.604400946201048,0.6978294979786571
11684.0,Paper,English,,"10 = Remaining CBG, NOT 65%+ HS or less",2025-05-12,2025-05-12,Good,About the same,Suburban,Americans are divided when it comes to the most important values,Very safe,Sometimes laws to protect people from themselves are necessary,Less crime,Just meet my basic expenses,"No, nobody in household",No,Several times a day,Several times a day,Yes,No,Catholic,Some College,No,Republican,,Rep/Lean Rep,No,White,White non-Hispanic,35-39,30-49,"U.S. - 50 states, District of Columbia",A woman,2,No,,"$100,000 to less than $125,000",Northeast,Metropolitan,1.604400946201048,3.4760634468221747
17455.0,Paper,English,English,"10 = Remaining CBG, NOT 65%+ HS or less",2025-05-14,2025-05-14,Only fair,Better,Rural,Americans are united when it comes to the most important values,Very safe,Sometimes laws to protect people from themselves are necessary,Less crime,Just meet my basic expenses,"No, nobody in household",No,Several times a day,Several times a day,Yes,No,Catholic,H.S. graduate or less,Yes,Republican,,Rep/Lean Rep,No,White,White non-Hispanic,60-64,50-64,"U.S. - 50 states, District of Columbia",A man,2,Yes,"Donald Trump, the Republican","$40,000 to less than $50,000",South,Metropolitan,1.604400946201048,2.190711188711161
