RESPID,MODE,LANGUAGE,LANGUAGEINITIAL,LANG_PREF,SURVEYSTARTDATE,SURVEYENDDATE,BWAVE,BIDENT1_GEOSTRATA,ECON1MOD,ECON1BMOD,COMTYPE2,UNITY,CRIMESAFE,INFRASPEND,MOREGUNIMPACT,GAMBLERESTR,VET1,VOL12_CPS,EMINUSE,INTMOB,INTFREQ,INTFREQ_COLLAPSED,HOME4NW2,BBHOME,SMUSEa,SMUSEb,SMUSEc,SMUSEd,SMUSEe,SMUSEf,SMUSEg,SMUSEh,SMUSEi,SMUSEj,SMUSEk,RADIO,GPT1,DEVICE1A,SMART2,NHISLL,RELIG,RELIGCAT1,BORN,ATTENDPER,ATTENDONLINE2,RELIMP,PRAY,REGISTRATION,PARTY,PARTYLN,PARTYSUM,HISP,RACEMOD_1,RACEMOD_2,RACEMOD_3,RACEMOD_4,RACEMOD_5,RACEMOD_6,RACEMOD_99,RACEMOD_MIXEDOE,RACECMB,RACETHN,AGE,AGECAT,BIRTHPLACE,GENDER,MARITAL,EDUCATION,EDUCCAT,ADULTS,VOTED2020,VOTEGEN_POST,INC_SDT1,CREGION,DIVISION,METRO,BASEWT,WEIGHT
26.0,Paper,English,English,,,20240513,Soft Launch,"10 = Remaining CBG, NOT 65%+ HS or less",Only fair,About the same,Rural,Americans are divided when it comes to the most important values,Very safe,Stay about the same,No difference,Don't know/Refused/Web blank,"No, nobody in household",No,Yes,No,Less often,Less often or does not use the internet,Yes,"High-speed broadband like cable, fiber optic, wireless router, satellite, or DSL","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Yes,Nothing at all,"Yes, have a cell phone","No, not a smartphone",Yes,"Protestant (for example, Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, etc.)",Protestant,"No, not born-again or evangelical Christian",Never,Never,Very important,Once a day,Yes,Something else,The Republican Party,Rep/Lean Rep,No,Selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,No,White,White non-Hispanic,80.0,65+,"U.S. - 50 states, District of Columbia",A woman,Widowed,Some college credit but no degree,Some College,1.0,Yes,"Donald Trump, the Republican","$30,000 to less than $40,000",West,Pacific,Metropolitan,0.7767369010201741,0.49951350704667596
28.0,Online,English,English,English,20240211,20240211,Soft Launch,"10 = Remaining CBG, NOT 65%+ HS or less",Only fair,Worse,Rural,Americans are divided when it comes to the most important values,Very safe,Stay about the same,Less crime,Restrictions on gambling are about right,"Yes, self",No,Yes,Yes,Several times a day,Several times a day,Yes,"High-speed broadband like cable, fiber optic, wireless router, satellite, or DSL","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Yes,Nothing at all,"Yes, have a cell phone","Yes, smartphone",No,Roman Catholic,Catholic,"No, not born-again or evangelical Christian",A few times a year,Once or twice a month,Not too important,A few times a week,Yes,Independent,Don't know/Refused/Web blank,DK/Refused/No lean,No,Selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,No,White,White non-Hispanic,71.0,65+,"U.S. - 50 states, District of Columbia",A man,Married,Don't know/Refused/Web blank,Refused,2.0,Yes,Don't know/Refused/Web blank,Don't know/Refused/Web blank,South,South Atlantic,Metropolitan,0.7767369010201741,0.25287419921913107
30.0,Online,English,English,English,20240206,20240206,Soft Launch,"9 = Remaining CBG, 65%+ HS or less",Good,About the same,Suburban,Americans are divided when it comes to the most important values,Very safe,Stay about the same,More crime,Restrictions on gambling are about right,"No, nobody in household",No,Yes,Yes,Several times a day,Several times a day,Yes,"High-speed broadband like cable, fiber optic, wireless router, satellite, or DSL","Yes, use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Yes,A little,"Yes, have a cell phone","Yes, smartphone",No,"Protestant (for example, Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, etc.)",Protestant,"No, not born-again or evangelical Christian",Seldom,Seldom,Somewhat important,Seldom,Yes,Democrat,,Dem/Lean Dem,No,Selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,No,White,White non-Hispanic,85.0,65+,"U.S. - 50 states, District of Columbia",A man,Widowed,Master's degree or higher,College graduate+,1.0,No,,"$100,000 or more",South,East South Central,Non-metropolitan,0.4462133845203579,0.17835306175325585
32.0,Paper,English,English,,,20240430,Soft Launch,"2 = 50%-74.99% Black non-Hispanic, NOT 65%+ HS or less",Only fair,About the same,Urban,Americans are divided when it comes to the most important values,Somewhat safe,Increase a lot,More crime,Restrictions on gambling are about right,"No, nobody in household",Yes,Yes,Yes,Almost constantly,Almost constantly,Yes,"High-speed broadband like cable, fiber optic, wireless router, satellite, or DSL","Yes, use this","Yes, use this","No, don't use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","Yes, use this","Yes, use this","No, don't use this","No, don't use this",Yes,A little,"Yes, have a cell phone","Yes, smartphone",No,Nothing in particular,Unaffiliated,"No, not born-again or evangelical Christian",Never,Never,Not too important,Once a day,Yes,Democrat,,Dem/Lean Dem,No,Selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,No,White,White non-Hispanic,49.0,30-49,"U.S. - 50 states, District of Columbia",A woman,Divorced,"Associate degree (such as AA, AS)",Some College,1.0,Yes,"Joe Biden, the Democrat","$40,000 to less than $50,000",South,West South Central,Metropolitan,0.8759496885461502,0.6520931635218166
33.0,Online,Spanish,English,Spanish,20240316,20240317,Soft Launch,"8 = 75%+ Hispanic, NOT 65%+ HS or less",Only fair,Better,Suburban,Americans are divided when it comes to the most important values,Somewhat safe,Stay about the same,More crime,Restrictions on gambling are about right,"No, nobody in household",No,Yes,Yes,Several times a day,Several times a day,No,,"Yes, use this","Yes, use this","Yes, use this","Yes, use this","No, don't use this","Yes, use this","No, don't use this","Yes, use this","Yes, use this","No, don't use this","No, don't use this",No,Nothing at all,"Yes, have a cell phone","Yes, smartphone",No,Roman Catholic,Catholic,"Yes, born-again or evangelical Christian",Seldom,Never,Somewhat important,Once a day,No,Something else,The Republican Party,Rep/Lean Rep,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Selected,Not selected,No,Some other Race,Hispanic,20.0,18-29,Another country,A woman,Never married,Regular high school diploma or GED,H.S. graduate or less,5 or more,No,,"Less than $30,000",Northeast,Middle Atlantic,Metropolitan,0.6764678031944705,3.4917926021853347
34.0,Paper,English,,,,20240429,Soft Launch,"10 = Remaining CBG, NOT 65%+ HS or less",Good,Better,Suburban,Americans are divided when it comes to the most important values,Very safe,Increase a lot,More crime,Restrictions on gambling are about right,"No, nobody in household",Yes,Yes,Yes,Several times a day,Several times a day,Yes,"High-speed broadband like cable, fiber optic, wireless router, satellite, or DSL","Yes, use this","Yes, use this","No, don't use this","Yes, use this","No, don't use this","No, don't use this","Yes, use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this",Yes,A little,"Yes, have a cell phone","Yes, smartphone",No,"Protestant (for example, Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, etc.)",Protestant,"No, not born-again or evangelical Christian",A few times a year,Seldom,Somewhat important,Several times a day,Yes,Democrat,,Dem/Lean Dem,No,Selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,No,White,White non-Hispanic,61.0,50-64,"U.S. - 50 states, District of Columbia",A woman,Married,"Bachelor's degree (such as BA, BS)",College graduate+,3.0,Yes,"Joe Biden, the Democrat","$100,000 or more",South,South Atlantic,Metropolitan,2.3302107030605224,1.1101121147465272
37.0,Paper,English,,,,20240430,Soft Launch,"10 = Remaining CBG, NOT 65%+ HS or less",Good,Worse,Suburban,Americans are united when it comes to the most important values,Very safe,Increase a lot,More crime,Restrictions on gambling are about right,"No, nobody in household",Yes,Yes,Yes,Almost constantly,Almost constantly,Yes,"High-speed broadband like cable, fiber optic, wireless router, satellite, or DSL","Yes, use this","Yes, use this","No, don't use this","Yes, use this","No, don't use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Yes,A lot,"Yes, have a cell phone","Yes, smartphone",Yes,"Protestant (for example, Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, etc.)",Protestant,"No, not born-again or evangelical Christian",More than once a week,Once or twice a month,Very important,Several times a day,Yes,Democrat,,Dem/Lean Dem,No,Selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,No,White,White non-Hispanic,55.0,50-64,"U.S. - 50 states, District of Columbia",A woman,Divorced,Master's degree or higher,College graduate+,1.0,Yes,"Joe Biden, the Democrat","$100,000 or more",South,South Atlantic,Metropolitan,0.7767369010201741,0.6479570950049143
39.0,Online,English,English,English,20240206,20240206,Soft Launch,"10 = Remaining CBG, NOT 65%+ HS or less",Good,Better,Suburban,Americans are united when it comes to the most important values,Very safe,Increase a lot,More crime,Restrictions on gambling are about right,"No, nobody in household",No,Yes,Yes,Almost constantly,Almost constantly,Yes,"High-speed broadband like cable, fiber optic, wireless router, satellite, or DSL","Yes, use this","Yes, use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",No,A little,"Yes, have a cell phone","Yes, smartphone",No,Roman Catholic,Catholic,"No, not born-again or evangelical Christian",Never,Never,Not too important,Once a day,Yes,Democrat,,Dem/Lean Dem,No,Selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,No,White,White non-Hispanic,74.0,65+,"U.S. - 50 states, District of Columbia",A woman,Widowed,"Bachelor's degree (such as BA, BS)",College graduate+,1.0,Yes,"Joe Biden, the Democrat","$40,000 to less than $50,000",West,Mountain,Metropolitan,0.38836845051008706,0.1898311004827
42.0,Online,English,English,English,20240324,20240324,Soft Launch,"10 = Remaining CBG, NOT 65%+ HS or less",Good,Better,Suburban,Americans are divided when it comes to the most important values,Very safe,Increase a little,More crime,There should be MORE restrictions on gambling than there are today,"No, nobody in household",Yes,Yes,Yes,Several times a day,Several times a day,Yes,"High-speed broadband like cable, fiber optic, wireless router, satellite, or DSL","Yes, use this","Yes, use this","No, don't use this","Yes, use this","Yes, use this","No, don't use this","No, don't use this","Yes, use this","Yes, use this","No, don't use this","Yes, use this",Yes,A lot,"Yes, have a cell phone","Yes, smartphone",No,Nothing in particular,Unaffiliated,"No, not born-again or evangelical Christian",Seldom,Never,Not too important,A few times a week,Yes,Independent,The Democratic Party,Dem/Lean Dem,No,Selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,No,White,White non-Hispanic,43.0,30-49,"U.S. - 50 states, District of Columbia",A woman,Married,"Bachelor's degree (such as BA, BS)",College graduate+,3.0,Yes,"Joe Biden, the Democrat","$90,000 to less than $100,000",Midwest,East North Central,Metropolitan,1.1651053515302612,0.6841194798517809
47.0,Paper,English,,,,20240520,Soft Launch,"10 = Remaining CBG, NOT 65%+ HS or less",Only fair,About the same,Suburban,Americans are divided when it comes to the most important values,Somewhat safe,Stay about the same,Less crime,There should be MORE restrictions on gambling than there are today,"No, nobody in household",Yes,Yes,Yes,Several times a day,Several times a day,Yes,"High-speed broadband like cable, fiber optic, wireless router, satellite, or DSL","Yes, use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Yes,A little,"Yes, have a cell phone","Yes, smartphone",No,Mormon,Other,"No, not born-again or evangelical Christian",More than once a week,A few times a year,Very important,Several times a day,Yes,Republican,,Rep/Lean Rep,No,Selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,No,White,White non-Hispanic,52.0,50-64,"U.S. - 50 states, District of Columbia",A man,Married,Master's degree or higher,College graduate+,3.0,Yes,"Donald Trump, the Republican","$100,000 or more",West,Mountain,Metropolitan,2.3302107030605224,1.2186218666542858
50.0,Online,English,English,English,20240207,20240207,Soft Launch,"10 = Remaining CBG, NOT 65%+ HS or less",Good,Better,Urban,Americans are divided when it comes to the most important values,Very safe,Increase a little,More crime,There should be MORE restrictions on gambling than there are today,"No, nobody in household",Yes,Yes,Yes,About once a day,Daily or several times a week,Yes,"High-speed broadband like cable, fiber optic, wireless router, satellite, or DSL","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Yes,Nothing at all,"Yes, have a cell phone","Yes, smartphone",No,"Protestant (for example, Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, etc.)",Protestant,"No, not born-again or evangelical Christian",Once a week,Never,Somewhat important,Once a day,Yes,Independent,The Democratic Party,Dem/Lean Dem,No,Selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,No,White,White non-Hispanic,37.0,30-49,"U.S. - 50 states, District of Columbia",A woman,Married,Master's degree or higher,College graduate+,2.0,Yes,Another candidate,"$100,000 or more",Midwest,West North Central,Metropolitan,0.7767369010201741,0.589111711845089
55.0,Online,English,English,English,20240207,20240207,Soft Launch,"10 = Remaining CBG, NOT 65%+ HS or less",Only fair,Worse,Suburban,Americans are divided when it comes to the most important values,Very safe,Increase a little,Less crime,There should be MORE restrictions on gambling than there are today,"Yes, both myself and someone else",Yes,Yes,Yes,Several times a day,Several times a day,Yes,"High-speed broadband like cable, fiber optic, wireless router, satellite, or DSL","Yes, use this","Yes, use this","Yes, use this","Yes, use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",No,A little,"Yes, have a cell phone","Yes, smartphone",No,"Protestant (for example, Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, etc.)",Protestant,"No, not born-again or evangelical Christian",Seldom,Never,Somewhat important,A few times a week,Yes,Republican,,Rep/Lean Rep,No,Selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,No,White,White non-Hispanic,59.0,50-64,"U.S. - 50 states, District of Columbia",A man,Divorced,Master's degree or higher,College graduate+,1.0,Yes,"Donald Trump, the Republican","$40,000 to less than $50,000",Northeast,Middle Atlantic,Metropolitan,0.38836845051008706,0.2135726174037414
59.0,Online,English,English,English,20240324,20240324,Soft Launch,"10 = Remaining CBG, NOT 65%+ HS or less",Poor,Worse,Suburban,Americans are divided when it comes to the most important values,Very safe,Stay about the same,No difference,Restrictions on gambling are about right,"No, nobody in household",Yes,Yes,Yes,Several times a day,Several times a day,Yes,"High-speed broadband like cable, fiber optic, wireless router, satellite, or DSL","Yes, use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Yes,A little,"Yes, have a cell phone","Yes, smartphone",No,"Protestant (for example, Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, etc.)",Protestant,"Yes, born-again or evangelical Christian",Once a week,A few times a year,Very important,Several times a day,Yes,Republican,,Rep/Lean Rep,No,Selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,No,White,White non-Hispanic,52.0,50-64,"U.S. - 50 states, District of Columbia",A woman,Married,"Bachelor's degree (such as BA, BS)",College graduate+,2.0,Yes,"Donald Trump, the Republican","$100,000 or more",South,South Atlantic,Metropolitan,0.7767369010201741,0.3843564230448429
